50	127	-1	39.9074
36	87	-1	39.9074
140	7	-1	39.9074
8	3	1	1.9004
102	89	-1	39.9074
17	119	-1	39.9074
92	10	-1	39.9074
10	20	1	1.9004
118	13	-1	39.9074
35	36	1	1.9004
15	128	-1	39.9074
104	110	1	1.9004
97	77	1	1.9004
48	99	-1	39.9074
17	22	1	1.9004
2	144	-1	39.9074
145	18	-1	39.9074
70	98	1	1.9004
43	113	-1	39.9074
83	64	1	1.9004
40	113	-1	39.9074
134	109	1	1.9004
61	140	-1	39.9074
38	79	-1	39.9074
143	40	-1	39.9074
37	139	-1	39.9074
10	44	1	1.9004
88	30	-1	39.9074
95	119	-1	39.9074
75	97	1	1.9004
119	35	-1	39.9074
90	16	-1	39.9074
77	125	-1	39.9074
138	74	-1	39.9074
41	97	-1	39.9074
137	76	-1	39.9074
146	29	-1	39.9074
16	44	1	1.9004
59	63	1	1.9004
46	104	-1	39.9074
13	60	-1	39.9074
44	45	1	1.9004
15	89	-1	39.9074
42	23	1	1.9004
0	42	1	1.9004
82	130	-1	39.9074
6	135	-1	39.9074
19	125	-1	39.9074
120	137	1	1.9004
20	75	-1	39.9074
60	26	-1	39.9074
86	90	1	1.9004
32	77	-1	39.9074
148	73	-1	39.9074
104	61	-1	39.9074
5	43	1	1.9004
120	51	-1	39.9074
12	76	-1	39.9074
55	110	-1	39.9074
78	120	-1	39.9074
122	28	-1	39.9074
18	123	-1	39.9074
95	2	-1	39.9074
134	77	-1	39.9074
81	90	1	1.9004
114	128	1	1.9004
57	12	-1	39.9074
110	49	-1	39.9074
125	55	-1	39.9074
124	26	-1	39.9074
19	131	-1	39.9074
6	103	-1	39.9074
110	65	-1	39.9074
56	146	-1	39.9074
59	66	1	1.9004
23	48	1	1.9004
47	134	-1	39.9074
37	46	1	1.9004
61	106	-1	39.9074
21	130	-1	39.9074
12	69	-1	39.9074
4	112	-1	39.9074
105	32	-1	39.9074
101	83	-1	39.9074
127	83	-1	39.9074
135	62	-1	39.9074
53	73	1	1.9004
38	139	-1	39.9074
70	38	-1	39.9074
64	105	-1	39.9074
60	27	-1	39.9074
128	87	-1	39.9074
56	33	-1	39.9074
32	78	-1	39.9074
65	111	-1	39.9074
10	127	-1	39.9074
101	20	-1	39.9074
128	29	-1	39.9074
91	81	1	1.9004
24	0	1	1.9004
115	114	1	1.9004
63	8	-1	39.9074
87	26	-1	39.9074
109	80	-1	39.9074
37	137	-1	39.9074
113	133	1	1.9004
10	27	1	1.9004
110	104	1	1.9004
116	75	-1	39.9074
63	91	1	1.9004
128	100	1	1.9004
78	44	-1	39.9074
105	57	-1	39.9074
85	133	-1	39.9074
126	134	1	1.9004
140	122	1	1.9004
0	0	1	1.9004
13	39	1	1.9004
3	63	-1	39.9074
51	81	1	1.9004
138	44	-1	39.9074
50	128	-1	39.9074
51	20	-1	39.9074
76	128	-1	39.9074
